index,key,name,type,adult,api,ext,infoKind,infoUrl,ok,httpLike,bytes,sha256,categoryCount,host,error,rawResponsePath
1,爱奇艺,爱奇艺｜追劇,3,false,https://raw.githubusercontent.com/SYLONG7708/TV/main/sources/oktv-iqiyi-latest.js,https://iqiyizyapi.com/api.php/provide/vod/,type3-ext-cms-list,https://iqiyizyapi.com/api.php/provide/vod/?ac=list,true,true,6352,291bf027b66540f226bf0d57e6c364115724f8030d2e7ea0e1d7f3f85032c884,40,iqiyizyapi.com,,raw/001-iqiyizyapi.com.txt
2,豆瓣资源,豆瓣资源｜追劇,1,false,https://dbzy.tv/api.php/provide/vod/,,cms-list,https://dbzy.tv/api.php/provide/vod/?ac=list,true,true,7353,f702d4f7de14c5b025891551c645c227171b9f29a38bbdcca4b02b336561ef28,49,dbzy.tv,,raw/002-dbzy.tv.txt
3,天涯资源,天涯资源｜追劇,1,false,https://tyyszy.com/api.php/provide/vod/,,cms-list,https://tyyszy.com/api.php/provide/vod/?ac=list,true,true,6422,6a282308172ac649f92d32fb1e671e0c850c1119882aeaf2a49c3f9d05977af3,59,tyyszy.com,,raw/003-tyyszy.com.txt
4,茅台资源,茅台资源｜追劇,1,false,https://caiji.maotaizy.cc/api.php/provide/vod/,,cms-list,https://caiji.maotaizy.cc/api.php/provide/vod/?ac=list,true,true,7321,26b317f844864f4b3a8b4d7e720b73ed14b6d32cc325857bdda2f1c35ecc2266,50,caiji.maotaizy.cc,,raw/004-caiji.maotaizy.cc.txt
5,iKun资源,iKun资源｜追劇,1,false,https://ikunzyapi.com/api.php/provide/vod/,,cms-list,https://ikunzyapi.com/api.php/provide/vod/?ac=list,true,true,6994,0d7064100baa3e6e4fe03f37dc0aac37fcff1f437ca30ee8cbe4ffe5782f6e86,53,ikunzyapi.com,,raw/005-ikunzyapi.com.txt
6,电影天堂,电影天堂｜追劇,1,false,http://caiji.dyttzyapi.com/api.php/provide/vod/,,cms-list,http://caiji.dyttzyapi.com/api.php/provide/vod/?ac=list,true,true,6052,f39f6b729c178520dae06e747d35a8b63bdbbca87e3fc059e383414732d30f04,32,caiji.dyttzyapi.com,,raw/006-caiji.dyttzyapi.com.txt
7,猫眼资源,猫眼资源｜追劇,1,false,https://api.maoyanapi.top/api.php/provide/vod/,,cms-list,https://api.maoyanapi.top/api.php/provide/vod/?ac=list,true,true,9060,1a7bd3ab8959d1dfe263f403bfdb4a515f1ddfc4e59abd1ddd6f7bed413e51ba,53,api.maoyanapi.top,,raw/007-api.maoyanapi.top.txt
8,量子资源,量子资源｜追劇,1,false,https://cj.lzcaiji.com/api.php/provide/vod/,,cms-list,https://cj.lzcaiji.com/api.php/provide/vod/?ac=list,true,true,6638,9fcc033255e17c4c7157aff18719206102f5576b0b76b97bd43a4fa5768faf18,44,cj.lzcaiji.com,,raw/008-cj.lzcaiji.com.txt
9,360资源,360 资源｜追劇,1,false,https://360zyzz.com/api.php/provide/vod/,,cms-list,https://360zyzz.com/api.php/provide/vod/?ac=list,true,true,6912,63d81fafedb4a3d66503a1dd58919aebb1786527a9d526f5d52cb393ed6cab7c,51,360zyzz.com,,raw/009-360zyzz.com.txt
10,极速资源,极速资源｜追劇,1,false,https://jszyapi.com/api.php/provide/vod/,,cms-list,https://jszyapi.com/api.php/provide/vod/?ac=list,true,true,6261,4986f9fbbce07dfb7759dc002c9aca917c29699026e7a71fc9c5aaad26d24b57,39,jszyapi.com,,raw/010-jszyapi.com.txt
11,魔都资源,魔都资源｜追劇,1,false,https://www.mdzyapi.com/api.php/provide/vod/,,cms-list,https://www.mdzyapi.com/api.php/provide/vod/?ac=list,true,true,6307,92b2855c397644375f06980f5ebf7d2d4ee0ab9635159ca3241014bf70921c63,39,www.mdzyapi.com,,raw/011-www.mdzyapi.com.txt
12,非凡资源,非凡资源｜追劇,1,false,https://api.ffzyapi.com/api.php/provide/vod/,,cms-list,https://api.ffzyapi.com/api.php/provide/vod/?ac=list,true,true,6049,7f02e64d14a0ed718956a9d69671dade599bfce4fe38b5abbe501b0212d08beb,31,api.ffzyapi.com,,raw/012-api.ffzyapi.com.txt
