"key","name","itemCount","playableCount","candidateCount","sampleTitle","sampleUpdatedAt","playbackUrl","ok","qualityOk","qualityLabel","maxHeight","maxBandwidth","variants","status","elapsedMs","error"
"爱奇艺","爱奇艺｜追劇","61624","61624","20","当橘子掉落时","2026-06-17 23:46:28","https://play.ly166.com:65/videos/20260514/6a0555ee80eee9b955aa645c/aa08f9/index.m3u8","true","true","single","0","0","0","200","1813",""
"豆瓣资源","豆瓣资源｜追劇","130201","130200","20","爱情有烟火","2026-06-17 22:58:56","https://vodcnd15.oag7h.com/20260615/GOZLexuD/index.m3u8","true","true","1080p","1080","2172000","1","200","5971",""
"天涯资源","天涯资源｜追劇","55853","55853","20","欢迎来到实力至上主义教室第四季","2026-06-17 23:36:24","https://tyyszywvod2.com/videos/202604/02/69cd30583d69b2ec91c58d57/g7b3f3/index.m3u8","true","true","single","0","0","0","200","2956",""
"黑料资源","🔞 黑料资源｜追劇","93268","93268","20","JUQ-944-C 寝取らせ串刺し輪姦 愛する妻を深奥まで犯し尽くして下さい―。","2026-06-17 13:15:04","https://bf.qugt.com:65/videos/20260616/6a322afe7ff3dac0dfcd959e/4fd662/index.m3u8","true","true","single","0","0","0","200","2507",""
"精品资源","🔞 精品资源｜追劇","43740","43740","20","操完女友操闺蜜","2026-06-18 00:31:36","https://jpxm3u8.com/20260617/f4Dnn9Sm/index.m3u8","true","true","724p","724","2000000","1","200","1309",""
"155-资源","🔞 155-资源｜追劇","172597","172597","20","带回家做爱 来我家搞吧 21 素人ホイホイ-妄想族","2026-06-17 09:26:50","https://2605.v155p.com/20260616/4MmDLWEb/index.m3u8","true","false","406p","406","1000000","1","200","3578","playback reachable but below preferred quality probe threshold"
"茅台资源","茅台资源｜追劇","131485","131483","20","爱情有烟火","2026-06-17 22:55:45","https://vodcnd03.myqqdd.com/20260615/FQLQxlPh/index.m3u8","true","true","1080p","1080","2172000","1","200","1663",""
"iKun资源","iKun资源｜追劇","65587","65587","20","溜掉的大鱼比不上自己钓到的鱼","2026-06-17 23:49:11","https://bfikuncdn.com/20260402/bA65z3wp/index.m3u8","true","true","1080p","1080","1987000","1","200","2097",""
"电影天堂","电影天堂｜追劇","81886","81886","20","关于虽然逃走的鱼很大、但钓上来的鱼却太大了这件事","2026-06-18 00:27:50","https://vip.dytt-tvs.com/20260402/15024_1c09cec8/index.m3u8","true","true","1080p","1080","800000","1","200","2316",""
"猫眼资源","猫眼资源｜追劇","33055","33055","20","陈腔滥调","2026-06-17 22:05:40","https://play.maoyanplay.top/20260525/t7IZC9jm/index.m3u8","true","false","576p","576","751000","1","200","3867","playback reachable but below preferred quality probe threshold"
"量子资源","量子资源｜追劇","136553","136553","20","百味人生","2026-06-18 00:17:30","https://v.lzcdn25.com/20250823/4889_c5af32f2/index.m3u8","true","false","608p","608","800000","1","200","3043","playback reachable but below preferred quality probe threshold"
"360资源","360 资源｜追劇","63762","63762","20","永不改变！","2026-06-17 23:55:02","https://vod1.maowushi.com/20260617/nQeB7siU/index.m3u8","true","true","1080p","1080","2184000","1","200","2928",""
