channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
時移新時代西,（時移）新時代西,港澳頻道,sources/live-base.txt,durable-base-hls,（時移）新時代西,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1287/e4cb5f65549108452b651955a0cc56e5/index.m3u8
時移新時代西,（時移）新時代西,港澳頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,（時移）新時代西,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1287/e4cb5f65549108452b651955a0cc56e5/index.m3u8
18台,18台,港澳頻道,sources/live-base.txt,durable-base-hls,18台,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/2813/10adbff6b7c8c269e5cf076543d9243a/index.m3u8
18台,18台,港澳頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,18台,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/2813/10adbff6b7c8c269e5cf076543d9243a/index.m3u8
4seven,4seven hd,體育頻道,sources/live-base.txt,durable-base-hls,4seven hd,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/3240/d298b3e4b1cbe7312309e0406505174b/index.m3u8
4seven,4seven hd,體育頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,4seven hd,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/3240/d298b3e4b1cbe7312309e0406505174b/index.m3u8
5star,5 star,英國頻道,sources/live-base.txt,durable-base-hls,5 star,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1400/9700bf9539809071f3e3ae1f589664b4/index.m3u8
5star,5 star,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,5 star,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1400/9700bf9539809071f3e3ae1f589664b4/index.m3u8
5starmax,5 Star Max,美國頻道,sources/live-base.txt,durable-base-hls,5 Star Max,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1174/7de90c5079acbf4236a61de804deb3dc/index.m3u8
5starmax,5 Star Max,美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,5 Star Max,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1174/7de90c5079acbf4236a61de804deb3dc/index.m3u8
5usa,5usa,體育頻道,sources/live-base.txt,durable-base-hls,5usa,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/3280/7ff2b0ace2a5e1ffd21f66764216b7fb/index.m3u8
5usa,5usa,體育頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,5usa,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/3280/7ff2b0ace2a5e1ffd21f66764216b7fb/index.m3u8
60daysin,60 Days In,紀實頻道,sources/live-base.txt,durable-base-hls,60 Days In,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx1/2404/64b5f581064352f3fab222a6caa75801/index.m3u8
60daysin,60 Days In,紀實頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,60 Days In,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx1/2404/64b5f581064352f3fab222a6caa75801/index.m3u8
8world,8world,YouTube綜合娛樂,sources/youtube-live-channels.csv,durable-youtube-page,8world,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,RvSOIM620bA,https://www.youtube.com/watch?v=RvSOIM620bA
